k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
5,0.0,0.8676,0.8496,0.8676,0.8676,0.8676,0.8652,0.8644000000000001,0.7792
5,0.5,0.8712,0.8455999999999999,0.8699999999999999,0.8715999999999999,0.8715999999999999,0.8664,0.8656,0.7784
5,0.8,0.8544,0.8316000000000001,0.8400000000000001,0.8528,0.8539999999999999,0.8284,0.828,0.7196
10,0.0,0.8768,0.8192,0.8774,0.8774,0.8774,0.8694000000000001,0.8702,0.78
10,0.5,0.8768,0.8183999999999999,0.8768,0.8775999999999999,0.8774,0.8672000000000001,0.8678000000000001,0.7812
10,0.8,0.8564,0.7962,0.8472,0.8550000000000001,0.8560000000000001,,0.8089999999999999,0.7232000000000001
20,0.0,0.8808999999999999,0.7562,0.8808999999999999,0.8817,0.8816,0.858,0.8577,0.774
20,0.5,0.8699,0.7451,0.8695999999999999,0.8707,0.8709,0.8423,0.8412000000000001,0.7668
20,0.8,0.8545999999999999,0.7379,0.8494999999999999,0.8511,0.8560000000000001,0.7783,0.7806,0.7163999999999999
40,0.0,0.8854,0.66865,0.88545,0.88705,0.8871,0.8321500000000001,0.83295,0.7574
40,0.5,0.88085,0.6536500000000001,0.8808,0.8827,0.8829,0.8119500000000001,0.8131999999999999,0.7451
40,0.8,0.8481,0.63515,0.84695,0.83805,0.8468500000000001,0.72195,0.7218,0.6588
