k,rho,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
10,0.5,0.0,0.0,4.0,4.0,2.0,3.0,0.0
10,0.8,1.0,1.0,1.0,11.0,1.0,8.0,0.0
20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
20,0.5,0.0,0.0,2.0,3.0,1.0,3.0,0.0
20,0.8,0.0,12.0,13.0,41.0,1.0,33.0,1.0
40,0.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0
40,0.5,0.0,1.0,11.0,15.0,0.0,6.0,0.0
40,0.8,0.0,36.0,41.0,89.0,0.0,58.0,0.0
