k;rho;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;2,00;0,00;0,00;0,00;0,00;11,00;0,00
0;0,50;0,00;2,00;0,00;0,00;0,00;0,00;10,00;0,00
0;0,80;0,00;2,00;0,00;0,00;0,00;0,00;9,00;0,00
5;0,00;85,00;4,00;0,00;0,00;46,00;0,00;111,00;0,00
5;0,50;88,00;9,00;0,00;0,00;58,00;1,00;170,00;0,00
5;0,80;87,00;49,00;12,00;10,00;171,00;7,00;344,00;10,00
10;0,00;274,00;22,00;0,00;0,00;156,00;6,00;185,00;6,00
10;0,50;273,00;19,00;5,00;5,00;168,00;8,00;229,00;4,00
10;0,80;282,00;106,00;31,00;21,00;376,00;23,00;445,00;20,00
20;0,00;478,00;39,00;1,00;1,00;387,00;10,00;418,00;12,00
20;0,50;478,00;54,00;19,00;18,00;396,00;19,00;412,00;16,00
20;0,80;474,00;213,00;111,00;84,00;497,00;91,00;491,00;74,00
40;0,00;500,00;54,00;28,00;28,00;497,00;118,00;498,00;62,00
40;0,50;500,00;84,00;97,00;93,00;499,00;185,00;499,00;89,00
40;0,80;500,00;301,00;364,00;250,00;500,00;390,00;500,00;285,00
