rho;k;method;FDR2
0,00;0;stepwise_plain;0,03
0,00;0;stepwise_reduced;0,03
0,00;0;stepwise_ff;0,03
0,00;0;L0opt_CD;0,03
0,00;0;L0opt_CDPSI;0,03
0,00;0;lassonet;0,03
0,00;0;lassonet_plus;0,03
0,00;0;deep2stage;0,01
0,00;0;deep2stage_plus;0,03
0,00;5;stepwise_plain;0,04
0,00;5;stepwise_reduced;0,03
0,00;5;stepwise_ff;0,05
0,00;5;L0opt_CD;0,05
0,00;5;L0opt_CDPSI;0,05
0,00;5;lassonet;0,04
0,00;5;lassonet_plus;0,05
0,00;5;deep2stage;0,03
0,00;5;deep2stage_plus;0,05
0,00;10;stepwise_plain;0,05
0,00;10;stepwise_reduced;0,02
0,00;10;stepwise_ff;0,06
0,00;10;L0opt_CD;0,06
0,00;10;L0opt_CDPSI;0,06
0,00;10;lassonet;0,04
0,00;10;lassonet_plus;0,05
0,00;10;deep2stage;0,04
0,00;10;deep2stage_plus;0,06
0,00;20;stepwise_plain;0,06
0,00;20;stepwise_reduced;0,02
0,00;20;stepwise_ff;0,07
0,00;20;L0opt_CD;0,06
0,00;20;L0opt_CDPSI;0,06
0,00;20;lassonet;0,03
0,00;20;lassonet_plus;0,06
0,00;20;deep2stage;0,04
0,00;20;deep2stage_plus;0,06
0,00;40;stepwise_plain;0,07
0,00;40;stepwise_reduced;0,01
0,00;40;stepwise_ff;0,08
0,00;40;L0opt_CD;0,09
0,00;40;L0opt_CDPSI;0,09
0,00;40;lassonet;0,04
0,00;40;lassonet_plus;0,06
0,00;40;deep2stage;0,04
0,00;40;deep2stage_plus;0,07
0,50;0;stepwise_plain;0,02
0,50;0;stepwise_reduced;0,02
0,50;0;stepwise_ff;0,03
0,50;0;L0opt_CD;0,02
0,50;0;L0opt_CDPSI;0,02
0,50;0;lassonet;0,02
0,50;0;lassonet_plus;0,02
0,50;0;deep2stage;0,00
0,50;0;deep2stage_plus;0,02
0,50;5;stepwise_plain;0,04
0,50;5;stepwise_reduced;0,03
0,50;5;stepwise_ff;0,04
0,50;5;L0opt_CD;0,04
0,50;5;L0opt_CDPSI;0,04
0,50;5;lassonet;0,03
0,50;5;lassonet_plus;0,04
0,50;5;deep2stage;0,02
0,50;5;deep2stage_plus;0,04
0,50;10;stepwise_plain;0,04
0,50;10;stepwise_reduced;0,02
0,50;10;stepwise_ff;0,05
0,50;10;L0opt_CD;0,05
0,50;10;L0opt_CDPSI;0,05
0,50;10;lassonet;0,03
0,50;10;lassonet_plus;0,04
0,50;10;deep2stage;0,03
0,50;10;deep2stage_plus;0,04
0,50;20;stepwise_plain;0,05
0,50;20;stepwise_reduced;0,04
0,50;20;stepwise_ff;0,06
0,50;20;L0opt_CD;0,06
0,50;20;L0opt_CDPSI;0,06
0,50;20;lassonet;0,03
0,50;20;lassonet_plus;0,05
0,50;20;deep2stage;0,04
0,50;20;deep2stage_plus;0,05
0,50;40;stepwise_plain;0,07
0,50;40;stepwise_reduced;0,06
0,50;40;stepwise_ff;0,07
0,50;40;L0opt_CD;0,08
0,50;40;L0opt_CDPSI;0,08
0,50;40;lassonet;0,06
0,50;40;lassonet_plus;0,06
0,50;40;deep2stage;0,04
0,50;40;deep2stage_plus;0,07
0,80;0;stepwise_plain;0,02
0,80;0;stepwise_reduced;0,02
0,80;0;stepwise_ff;0,03
0,80;0;L0opt_CD;0,02
0,80;0;L0opt_CDPSI;0,02
0,80;0;lassonet;0,02
0,80;0;lassonet_plus;0,02
0,80;0;deep2stage;0,00
0,80;0;deep2stage_plus;0,02
0,80;5;stepwise_plain;0,05
0,80;5;stepwise_reduced;0,04
0,80;5;stepwise_ff;0,06
0,80;5;L0opt_CD;0,05
0,80;5;L0opt_CDPSI;0,05
0,80;5;lassonet;0,04
0,80;5;lassonet_plus;0,05
0,80;5;deep2stage;0,11
0,80;5;deep2stage_plus;0,05
0,80;10;stepwise_plain;0,05
0,80;10;stepwise_reduced;0,06
0,80;10;stepwise_ff;0,07
0,80;10;L0opt_CD;0,06
0,80;10;L0opt_CDPSI;0,06
0,80;10;lassonet;0,06
0,80;10;lassonet_plus;0,05
0,80;10;deep2stage;0,13
0,80;10;deep2stage_plus;0,06
0,80;20;stepwise_plain;0,06
0,80;20;stepwise_reduced;0,09
0,80;20;stepwise_ff;0,08
0,80;20;L0opt_CD;0,07
0,80;20;L0opt_CDPSI;0,06
0,80;20;lassonet;0,12
0,80;20;lassonet_plus;0,07
0,80;20;deep2stage;0,13
0,80;20;deep2stage_plus;0,07
0,80;40;stepwise_plain;0,08
0,80;40;stepwise_reduced;0,13
0,80;40;stepwise_ff;0,10
0,80;40;L0opt_CD;0,10
0,80;40;L0opt_CDPSI;0,09
0,80;40;lassonet;0,24
0,80;40;lassonet_plus;0,06
0,80;40;deep2stage;0,15
0,80;40;deep2stage_plus;0,08
