rho;k;method;Better2
0,00;0;stepwise_plain;0
0,00;0;stepwise_reduced;0
0,00;0;stepwise_ff;1
0,00;0;L0opt_CD;1
0,00;0;L0opt_CDPSI;1
0,00;0;lassonet;1
0,00;0;lassonet_plus;1
0,00;0;deep2stage;1
0,00;0;deep2stage_plus;1
0,00;5;stepwise_plain;0
0,00;5;stepwise_reduced;0
0,00;5;stepwise_ff;3
0,00;5;L0opt_CD;3
0,00;5;L0opt_CDPSI;4
0,00;5;lassonet;1
0,00;5;lassonet_plus;2
0,00;5;deep2stage;0
0,00;5;deep2stage_plus;2
0,00;10;stepwise_plain;0
0,00;10;stepwise_reduced;0
0,00;10;stepwise_ff;12
0,00;10;L0opt_CD;12
0,00;10;L0opt_CDPSI;12
0,00;10;lassonet;3
0,00;10;lassonet_plus;3
0,00;10;deep2stage;5
0,00;10;deep2stage_plus;6
0,00;20;stepwise_plain;0
0,00;20;stepwise_reduced;0
0,00;20;stepwise_ff;38
0,00;20;L0opt_CD;36
0,00;20;L0opt_CDPSI;37
0,00;20;lassonet;1
0,00;20;lassonet_plus;9
0,00;20;deep2stage;5
0,00;20;deep2stage_plus;11
0,00;40;stepwise_plain;0
0,00;40;stepwise_reduced;0
0,00;40;stepwise_ff;40
0,00;40;L0opt_CD;104
0,00;40;L0opt_CDPSI;105
0,00;40;lassonet;0
0,00;40;lassonet_plus;11
0,00;40;deep2stage;2
0,00;40;deep2stage_plus;32
0,50;0;stepwise_plain;0
0,50;0;stepwise_reduced;0
0,50;0;stepwise_ff;0
0,50;0;L0opt_CD;0
0,50;0;L0opt_CDPSI;0
0,50;0;lassonet;0
0,50;0;lassonet_plus;0
0,50;0;deep2stage;0
0,50;0;deep2stage_plus;0
0,50;5;stepwise_plain;0
0,50;5;stepwise_reduced;0
0,50;5;stepwise_ff;2
0,50;5;L0opt_CD;2
0,50;5;L0opt_CDPSI;2
0,50;5;lassonet;1
0,50;5;lassonet_plus;0
0,50;5;deep2stage;0
0,50;5;deep2stage_plus;0
0,50;10;stepwise_plain;0
0,50;10;stepwise_reduced;0
0,50;10;stepwise_ff;12
0,50;10;L0opt_CD;11
0,50;10;L0opt_CDPSI;12
0,50;10;lassonet;1
0,50;10;lassonet_plus;2
0,50;10;deep2stage;1
0,50;10;deep2stage_plus;2
0,50;20;stepwise_plain;0
0,50;20;stepwise_reduced;0
0,50;20;stepwise_ff;26
0,50;20;L0opt_CD;22
0,50;20;L0opt_CDPSI;30
0,50;20;lassonet;1
0,50;20;lassonet_plus;17
0,50;20;deep2stage;3
0,50;20;deep2stage_plus;14
0,50;40;stepwise_plain;0
0,50;40;stepwise_reduced;0
0,50;40;stepwise_ff;49
0,50;40;L0opt_CD;86
0,50;40;L0opt_CDPSI;93
0,50;40;lassonet;0
0,50;40;lassonet_plus;31
0,50;40;deep2stage;1
0,50;40;deep2stage_plus;54
0,80;0;stepwise_plain;0
0,80;0;stepwise_reduced;0
0,80;0;stepwise_ff;0
0,80;0;L0opt_CD;0
0,80;0;L0opt_CDPSI;0
0,80;0;lassonet;0
0,80;0;lassonet_plus;0
0,80;0;deep2stage;0
0,80;0;deep2stage_plus;0
0,80;5;stepwise_plain;0
0,80;5;stepwise_reduced;0
0,80;5;stepwise_ff;3
0,80;5;L0opt_CD;3
0,80;5;L0opt_CDPSI;4
0,80;5;lassonet;1
0,80;5;lassonet_plus;1
0,80;5;deep2stage;0
0,80;5;deep2stage_plus;1
0,80;10;stepwise_plain;0
0,80;10;stepwise_reduced;1
0,80;10;stepwise_ff;7
0,80;10;L0opt_CD;5
0,80;10;L0opt_CDPSI;15
0,80;10;lassonet;0
0,80;10;lassonet_plus;8
0,80;10;deep2stage;0
0,80;10;deep2stage_plus;8
0,80;20;stepwise_plain;0
0,80;20;stepwise_reduced;0
0,80;20;stepwise_ff;32
0,80;20;L0opt_CD;24
0,80;20;L0opt_CDPSI;70
0,80;20;lassonet;0
0,80;20;lassonet_plus;46
0,80;20;deep2stage;2
0,80;20;deep2stage_plus;53
0,80;40;stepwise_plain;0
0,80;40;stepwise_reduced;0
0,80;40;stepwise_ff;44
0,80;40;L0opt_CD;36
0,80;40;L0opt_CDPSI;108
0,80;40;lassonet;0
0,80;40;lassonet_plus;38
0,80;40;deep2stage;0
0,80;40;deep2stage_plus;73
