rho;k;method;Better
0,00;0;stepwise_plain;0
0,00;0;stepwise_reduced;0
0,00;0;stepwise_ff;0
0,00;0;L0opt_CD;0
0,00;0;L0opt_CDPSI;0
0,00;0;lassonet;0
0,00;0;lassonet_plus;0
0,00;0;deep2stage;0
0,00;0;deep2stage_plus;0
0,00;5;stepwise_plain;0
0,00;5;stepwise_reduced;0
0,00;5;stepwise_ff;1
0,00;5;L0opt_CD;1
0,00;5;L0opt_CDPSI;1
0,00;5;lassonet;0
0,00;5;lassonet_plus;1
0,00;5;deep2stage;0
0,00;5;deep2stage_plus;0
0,00;10;stepwise_plain;0
0,00;10;stepwise_reduced;0
0,00;10;stepwise_ff;1
0,00;10;L0opt_CD;1
0,00;10;L0opt_CDPSI;1
0,00;10;lassonet;1
0,00;10;lassonet_plus;0
0,00;10;deep2stage;1
0,00;10;deep2stage_plus;1
0,00;20;stepwise_plain;0
0,00;20;stepwise_reduced;0
0,00;20;stepwise_ff;1
0,00;20;L0opt_CD;1
0,00;20;L0opt_CDPSI;1
0,00;20;lassonet;1
0,00;20;lassonet_plus;1
0,00;20;deep2stage;1
0,00;20;deep2stage_plus;1
0,00;40;stepwise_plain;0
0,00;40;stepwise_reduced;0
0,00;40;stepwise_ff;2
0,00;40;L0opt_CD;6
0,00;40;L0opt_CDPSI;6
0,00;40;lassonet;0
0,00;40;lassonet_plus;2
0,00;40;deep2stage;0
0,00;40;deep2stage_plus;1
0,50;0;stepwise_plain;0
0,50;0;stepwise_reduced;0
0,50;0;stepwise_ff;0
0,50;0;L0opt_CD;0
0,50;0;L0opt_CDPSI;0
0,50;0;lassonet;0
0,50;0;lassonet_plus;0
0,50;0;deep2stage;0
0,50;0;deep2stage_plus;0
0,50;5;stepwise_plain;0
0,50;5;stepwise_reduced;0
0,50;5;stepwise_ff;0
0,50;5;L0opt_CD;0
0,50;5;L0opt_CDPSI;0
0,50;5;lassonet;0
0,50;5;lassonet_plus;0
0,50;5;deep2stage;0
0,50;5;deep2stage_plus;0
0,50;10;stepwise_plain;0
0,50;10;stepwise_reduced;0
0,50;10;stepwise_ff;4
0,50;10;L0opt_CD;4
0,50;10;L0opt_CDPSI;4
0,50;10;lassonet;2
0,50;10;lassonet_plus;2
0,50;10;deep2stage;2
0,50;10;deep2stage_plus;2
0,50;20;stepwise_plain;0
0,50;20;stepwise_reduced;0
0,50;20;stepwise_ff;5
0,50;20;L0opt_CD;2
0,50;20;L0opt_CDPSI;3
0,50;20;lassonet;1
0,50;20;lassonet_plus;3
0,50;20;deep2stage;2
0,50;20;deep2stage_plus;3
0,50;40;stepwise_plain;0
0,50;40;stepwise_reduced;0
0,50;40;stepwise_ff;12
0,50;40;L0opt_CD;11
0,50;40;L0opt_CDPSI;15
0,50;40;lassonet;0
0,50;40;lassonet_plus;6
0,50;40;deep2stage;3
0,50;40;deep2stage_plus;10
0,80;0;stepwise_plain;0
0,80;0;stepwise_reduced;0
0,80;0;stepwise_ff;0
0,80;0;L0opt_CD;0
0,80;0;L0opt_CDPSI;0
0,80;0;lassonet;0
0,80;0;lassonet_plus;0
0,80;0;deep2stage;0
0,80;0;deep2stage_plus;0
0,80;5;stepwise_plain;0
0,80;5;stepwise_reduced;0
0,80;5;stepwise_ff;1
0,80;5;L0opt_CD;1
0,80;5;L0opt_CDPSI;1
0,80;5;lassonet;0
0,80;5;lassonet_plus;0
0,80;5;deep2stage;0
0,80;5;deep2stage_plus;1
0,80;10;stepwise_plain;0
0,80;10;stepwise_reduced;1
0,80;10;stepwise_ff;5
0,80;10;L0opt_CD;1
0,80;10;L0opt_CDPSI;11
0,80;10;lassonet;1
0,80;10;lassonet_plus;8
0,80;10;deep2stage;0
0,80;10;deep2stage_plus;9
0,80;20;stepwise_plain;0
0,80;20;stepwise_reduced;0
0,80;20;stepwise_ff;25
0,80;20;L0opt_CD;13
0,80;20;L0opt_CDPSI;41
0,80;20;lassonet;1
0,80;20;lassonet_plus;33
0,80;20;deep2stage;5
0,80;20;deep2stage_plus;40
0,80;40;stepwise_plain;0
0,80;40;stepwise_reduced;0
0,80;40;stepwise_ff;52
0,80;40;L0opt_CD;41
0,80;40;L0opt_CDPSI;89
0,80;40;lassonet;0
0,80;40;lassonet_plus;58
0,80;40;deep2stage;8
0,80;40;deep2stage_plus;89
