rho;k;method;Worse
0,00;0;stepwise_plain;0
0,00;0;stepwise_reduced;0
0,00;0;stepwise_ff;1
0,00;0;L0opt_CD;0
0,00;0;L0opt_CDPSI;0
0,00;0;lassonet;0
0,00;0;lassonet_plus;0
0,00;0;deep2stage;11
0,00;0;deep2stage_plus;0
0,00;5;stepwise_plain;0
0,00;5;stepwise_reduced;36
0,00;5;stepwise_ff;0
0,00;5;L0opt_CD;0
0,00;5;L0opt_CDPSI;0
0,00;5;lassonet;10
0,00;5;lassonet_plus;0
0,00;5;deep2stage;43
0,00;5;deep2stage_plus;0
0,00;10;stepwise_plain;0
0,00;10;stepwise_reduced;188
0,00;10;stepwise_ff;1
0,00;10;L0opt_CD;0
0,00;10;L0opt_CDPSI;0
0,00;10;lassonet;46
0,00;10;lassonet_plus;0
0,00;10;deep2stage;54
0,00;10;deep2stage_plus;0
0,00;20;stepwise_plain;0
0,00;20;stepwise_reduced;437
0,00;20;stepwise_ff;8
0,00;20;L0opt_CD;0
0,00;20;L0opt_CDPSI;0
0,00;20;lassonet;138
0,00;20;lassonet_plus;0
0,00;20;deep2stage;309
0,00;20;deep2stage_plus;0
0,00;40;stepwise_plain;0
0,00;40;stepwise_reduced;500
0,00;40;stepwise_ff;11
0,00;40;L0opt_CD;3
0,00;40;L0opt_CDPSI;3
0,00;40;lassonet;427
0,00;40;lassonet_plus;11
0,00;40;deep2stage;499
0,00;40;deep2stage_plus;7
0,50;0;stepwise_plain;0
0,50;0;stepwise_reduced;0
0,50;0;stepwise_ff;0
0,50;0;L0opt_CD;0
0,50;0;L0opt_CDPSI;0
0,50;0;lassonet;0
0,50;0;lassonet_plus;0
0,50;0;deep2stage;10
0,50;0;deep2stage_plus;0
0,50;5;stepwise_plain;0
0,50;5;stepwise_reduced;49
0,50;5;stepwise_ff;2
0,50;5;L0opt_CD;1
0,50;5;L0opt_CDPSI;1
0,50;5;lassonet;11
0,50;5;lassonet_plus;0
0,50;5;deep2stage;93
0,50;5;deep2stage_plus;0
0,50;10;stepwise_plain;0
0,50;10;stepwise_reduced;189
0,50;10;stepwise_ff;4
0,50;10;L0opt_CD;0
0,50;10;L0opt_CDPSI;0
0,50;10;lassonet;54
0,50;10;lassonet_plus;0
0,50;10;deep2stage;111
0,50;10;deep2stage_plus;1
0,50;20;stepwise_plain;0
0,50;20;stepwise_reduced;440
0,50;20;stepwise_ff;7
0,50;20;L0opt_CD;1
0,50;20;L0opt_CDPSI;1
0,50;20;lassonet;218
0,50;20;lassonet_plus;3
0,50;20;deep2stage;308
0,50;20;deep2stage_plus;1
0,50;40;stepwise_plain;0
0,50;40;stepwise_reduced;500
0,50;40;stepwise_ff;23
0,50;40;L0opt_CD;18
0,50;40;L0opt_CDPSI;17
0,50;40;lassonet;477
0,50;40;lassonet_plus;22
0,50;40;deep2stage;497
0,50;40;deep2stage_plus;14
0,80;0;stepwise_plain;0
0,80;0;stepwise_reduced;0
0,80;0;stepwise_ff;1
0,80;0;L0opt_CD;0
0,80;0;L0opt_CDPSI;0
0,80;0;lassonet;0
0,80;0;lassonet_plus;0
0,80;0;deep2stage;9
0,80;0;deep2stage_plus;0
0,80;5;stepwise_plain;0
0,80;5;stepwise_reduced;57
0,80;5;stepwise_ff;26
0,80;5;L0opt_CD;5
0,80;5;L0opt_CDPSI;3
0,80;5;lassonet;113
0,80;5;lassonet_plus;5
0,80;5;deep2stage;302
0,80;5;deep2stage_plus;2
0,80;10;stepwise_plain;0
0,80;10;stepwise_reduced;213
0,80;10;stepwise_ff;63
0,80;10;L0opt_CD;14
0,80;10;L0opt_CDPSI;11
0,80;10;lassonet;281
0,80;10;lassonet_plus;8
0,80;10;deep2stage;402
0,80;10;deep2stage_plus;5
0,80;20;stepwise_plain;0
0,80;20;stepwise_reduced;448
0,80;20;stepwise_ff;162
0,80;20;L0opt_CD;66
0,80;20;L0opt_CDPSI;45
0,80;20;lassonet;480
0,80;20;lassonet_plus;43
0,80;20;deep2stage;476
0,80;20;deep2stage_plus;26
0,80;40;stepwise_plain;0
0,80;40;stepwise_reduced;499
0,80;40;stepwise_ff;239
0,80;40;L0opt_CD;268
0,80;40;L0opt_CDPSI;160
0,80;40;lassonet;499
0,80;40;lassonet_plus;284
0,80;40;deep2stage;492
0,80;40;deep2stage_plus;130
